Country,SalesValue_GBP
United Kingdom,7684331.014
EIRE,266079.81
Netherlands,264933.84
Germany,205641.83
France,192821.88
Australia,137488.46
Spain,59417.17
Switzerland,55784.98
Belgium,37968.7
Sweden,34306.03
Japan,29711.3
Norway,29592.62
Portugal,28498.94
Singapore,21279.29
Finland,20420.52
Channel Islands,19888.51
Denmark,17504.94
Italy,16471.29
Hong Kong,15691.800000000001
Cyprus,11999.56
Austria,9238.28
Israel,8135.26
Poland,7086.49
Unspecified,4749.79
Greece,4079.53
Canada,3666.38
Iceland,3373.39
Malta,2725.59
USA,2695.15
United Arab Emirates,1902.28
Lebanon,1693.88
European Community,1300.25
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,826.74
Bahrain,548.4
Saudi Arabia,145.92
